question,choice1,choice2,choice3,choice4,answer
Green chemistry is also called as,Life chemistry,Environmental chemistry,Organic chemistry,Sustainable chemistry,4
An ideal solvent facilitates the,Mass transfer,Dissolving property,Combustion,Titration,1
A desirable green solvent should be,Costly,Toxic,Readily available,Synthetic,3
The green solvent maximises the atom,Molecular weight,Electronic configuration,Velocity,Efficiency,4
What is the percentage atom utilisation?,(mole wt of desired product*100)/mole wt of (desired product+total produc,(mole wt of desired product*100)/mole wt of (desired product),(mole wt of desired product*100)/mole wt of (desired product+used product),(mole wt of desired product*100)/mole wt of (desired product+by produc,4
Which of the given methods are greener than the conventional methods?,Micro waves,Electromagnetic waves,Ultra violet waves,Radio waves,1
Self thermo regulated systems are called as -------,Green methodologies,Green synthesis,Green principles,Green concepts,1
Which is the fundamental advantage of the sono chemistry in organic synthesis without solvents?,High yields,High energy requirements,Use of solvents,High wastes,1
One of the principles of green chemistry says that to produce          goods,Harmful,Commercial,Safer,Most used,3
"After the use of chemicals, we must            them properly",Use,Reuse,Dispose,Store,3
"Green chemistry applies across the                of a chemical product like design, manufacture and use.",Life cycle,Properties,Uses,Efficiency,1
We must use feedstock derived from annually renewable resources or from -------,Chemicals,Organic compounds,Abundant waste,Plants,3
Green chemistry improves                 of chemical manufacturers,Competitiveness,Easiness of production,Services,Chemicals,1
Green Chemistry reduces the use of ---------,Liquid fuels,Energy,Gaseous fuels,Solid fuels,2
Green Chemistry reduces the              and protects the environment.,Pollution,Temperature,Air,Water,1
"According to the green chemistry, the chemical involved in the production must be ---------",Non toxic,Toxic,Highly toxic,Produces the toxic by products,1
The green synthesis methods should have ----------,Low efficiency,High harmful products,Low energy requirements,Low atom efficiency,3
Green synthesis method is            than the conventional method,More costly,More efficient,Slower,Less efficient,2
Green chemistry is the process to design chemical reaction in ----------,Environment friendly manner,Industrial friendly manner,Hazardous manner,All of the mentioned,1
"Many beneficial chemicals such as pharmaceutical,agricultural chemicals, and various plastics are obtained by -------",Physical process,Chemical process,Environmental process,Biological process,3
C2H4 +1/2 O2 → C2H4O(Ethylene oxide). This reaction will takes place under presence of catalyst. Find out the %atom economy,25%,50%,75%,100%,4
The atom economy obtained for green synthesis is in the range of ---------,62-70%,72-82%,40-50%,90-100%,2
Micro fluid reactor will minimise -------,Solvent waste,Efficiency,No. of molecules,No. of collisions,1
Which of the following is the greenest solvent?,Formaldehyde,Benzene,Ethanol,Water,4
The green synthesis methods should have--------,Low efficiency,High harmful product,Low energy requirement,Low atom efficiency,3
